College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Thapar Institute of Engineering and Technology University - [Thapar University], Patiala","8.2/10","Patiala, Punjab","NAAC, UGC, NBA","₹3.17 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 71 reviews"
"College of Engineering - [COEP], Pune","8.2/10","Pune, Maharashtra","AICTE, NBA","₹83.4 K / yr BE/B.Tech - avg fe...",,"4.4 / 5 42 reviews"
"Birla Institute of Technology - [BIT Mesra], Ranchi","8.2/10","Ranchi, Jharkhand","PCI, AICTE, UGC, NBA, NAAC-B","₹2.15 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 65 reviews"
"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar","8.2/10","Jalandhar, Punjab","AICTE, UGC","₹84 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 48 reviews"
"Indian Institute of Technology - [IIT], Hyderabad","8.1/10","Hyderabad, Telangana","UGC","₹2.11 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 13 reviews"
"Indian Institute of Technology - [IIT], Ropar","8.1/10","Ropar, Punjab","AICTE, UGC","₹2.09 L / yr BE/B.Tech - avg fe...",,"4.4 / 5 1 reviews"
"R V College of Engineering-[RVCE], Bangalore","8.1/10","Bangalore, Karnataka","AICTE, NAAC, NBA","₹75.1 K / yr BE/B.Tech - avg fe...",,"4.3 / 5 62 reviews"
"National Institute of Technology - [NIT], Rourkela","8.1/10","Rourkela, Orissa","AICTE, NAAC, MHRD","₹91.8 K / yr BE/B.Tech - avg fe...",,"4.3 / 5 55 reviews"
"Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram","8.1/10","Thiruvananthapuram, Kerala","UGC","₹31.8 K / yr ME/M.Tech - avg fe...",,""
"Veer Surendra Sai University of Technology - [VSSUT], Burla","8.1/10","Burla, Orissa","AICTE, UGC","₹28 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 36 reviews"
"Malaviya National Institute of Technology - [MNIT], Jaipur","8.1/10","Jaipur, Rajasthan","AICTE, MHRD","₹79.2 K / yr BE/B.Tech - avg fe...",,"4 / 5 77 reviews"
"National Institute of Technology - [NIT], Durgapur","8.1/10","Durgapur, West Bengal","AICTE, UGC","₹1.33 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 50 reviews"
"Faculty of Technology, Dharmsinh Desai University, Nadiad","8.1/10","Nadiad, Gujarat","AICTE, NAAC, UGC, NBA","₹1.44 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 2 reviews"
"Jadavpur University, Faculty of Engineering and Technology, Kolkata","8.1/10","Kolkata, West Bengal","AICTE, UGC","₹2.4 K / yr BE/B.Tech - avg fe...",,"4.5 / 5 3 reviews"
"Institute of Engineering and Technology, Devi Ahilya University - [IET -DAVV], Indore","8.1/10","Indore, Madhya Pradesh","AICTE","₹44.7 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 27 reviews"
"Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah","8.1/10","Howrah, West Bengal","AICTE","₹1.34 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 34 reviews"
"Andhra University, College of Engineering - [AUCE], Visakhapatnam","8.1/10","Visakhapatnam, Andhra Pradesh","NAAC-A","₹2 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 27 reviews"
"Birla Institute of Technology Extension Centre - [BIT], Deoghar","8.1/10","Deoghar, Jharkhand","AICTE","₹2.15 L / yr BE/B.Tech - avg fe...",,""
"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat","8.0/10","Surat, Gujarat","UGC","₹1.05 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 42 reviews"
"Motilal Nehru National Institute of Technology - [MNNIT], Allahabad","8.0/10","Allahabad, Uttar Pradesh","AICTE","₹80.3 K / yr BE/B.Tech - avg fe...",,"4 / 5 59 reviews"
"Veermata Jijabai Technological Institute - [VJTI], Mumbai","8.0/10","Mumbai, Maharashtra","AICTE","₹73.8 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 54 reviews"
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABV-IIITM], Gwalior","8.0/10","Gwalior, Madhya Pradesh","NAAC","₹1.09 L / yr BE/B.Tech - avg fe...",,"3.6 / 5 21 reviews"
"Osmania University - [OU], Hyderabad","7.9/10","Hyderabad, Telangana","AICTE, UGC, NAAC-A","₹11.9 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 25 reviews"
"International Institute of Information Technology - [IIIT], Bhubaneswar","7.9/10","Bhubaneswar, Orissa","AICTE, NAAC, UGC","₹2.1 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 15 reviews"
"National Institute of Technology - [NIT], Kurukshetra","7.9/10","Kurukshetra, Haryana","AICTE","₹1.48 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 57 reviews"
"Maulana Azad National Institute of Technology - [MANIT], Bhopal","7.9/10","Bhopal, Madhya Pradesh","AICTE, NBA","₹65.3 K / yr BE/B.Tech - avg fe...",,"4 / 5 63 reviews"
"JNTUH College of Engineering Jagtial - [CEJ], Karim Nagar","7.9/10","Karim Nagar, Telangana","AICTE","₹10 K / yr BE/B.Tech - avg fe...",,"3.8 / 5 25 reviews"
