Exam Name     ,Application Form Date,Examination Date,Result Announce Date,Exam Medium,,,
BSAUEEE 2018B.S. Abdur Rahman University Engineering Entrance Exam,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20-May-18,Online Test,,,
BSAUEEE 2018B.S. Abdur Rahman University Engineering Entrance Exam,B.S. Abdur Rahman University,,"Chennai, Tamil Nadu","B.S. Abdur Rahman University Chennai, Tamil Nadu",,BE/B.Tech,1.78 l / Year
,,,,,,,
RUET 2018Rama University Entrance Test,28 Jan 18 - 15 May 18,22 Apr 18 - 25 May 18,10-Jun-18,Written Test,,,
RUET 2018Rama University Entrance Test,Rama University,,"Kanpur, Uttar Pradesh","Rama University Kanpur, Uttar Pradesh",,BE/B.Tech,1.28 l / Year
RUET 2018Rama University Entrance Test,Rama University,,"Hapur, Uttar Pradesh","Rama University Hapur, Uttar Pradesh",,BE/B.Tech,1 l / Year
,,,,,,,
TANCET 2018Tamil Nadu Common Entrance Test,28 Jan 18 - 15 Mar 18,25-Mar-18,07-Apr-18,Written Test,,,
TANCET 2018Tamil Nadu Common Entrance Test,SRM Engineering College,SRM University Kattankulathur Campus - [SRM],"Kanchipuram, Tamil Nadu","SRM Engineering College Kanchipuram, Tamil Nadu SRM University Kattankulathur Campus - [SRM]",,M.Arch,1.05 l / Year
TANCET 2018Tamil Nadu Common Entrance Test,Noorul Islam University,,"Kanyakumari, Tamil Nadu","Noorul Islam University Kanyakumari, Tamil Nadu",,MCA,44 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,Avinashilingam University for Women,,"Coimbatore, Tamil Nadu","Avinashilingam University for Women Coimbatore, Tamil Nadu",,MCA,18.8 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,Mcgan's Ooty School of Architecture,Anna University,"Ooty, Tamil Nadu","Mcgan's Ooty School of Architecture Ooty, Tamil Nadu Anna University",,M.Arch,90 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,Kongu Arts and Science College,Bharathiar University - [BU],"Erode, Tamil Nadu","Kongu Arts and Science College Erode, Tamil Nadu Bharathiar University - [BU]",,MCA,
TANCET 2018Tamil Nadu Common Entrance Test,Fatima College,Madurai Kamaraj University - [MKU],"Madurai, Tamil Nadu","Fatima College Madurai, Tamil Nadu Madurai Kamaraj University - [MKU]",,MBA/PGDM,99.6 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,Sri Balaji Chockalingam Engineering College,Anna University,"Tiruvannamalai, Tamil Nadu","Sri Balaji Chockalingam Engineering College Tiruvannamalai, Tamil Nadu Anna University",,MCA,46.6 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,JKK Munirajah College of Technology,Anna University,"Erode, Tamil Nadu","JKK Munirajah College of Technology Erode, Tamil Nadu Anna University",,MBA/PGDM,80 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,SRM Arts and Science College Kattankulathur,University of Madras,"Kanchipuram, Tamil Nadu","SRM Arts and Science College Kattankulathur Kanchipuram, Tamil Nadu University of Madras",,MCA,11 k / Year
TANCET 2018Tamil Nadu Common Entrance Test,Sourashtra College,Madurai Kamaraj University - [MKU],"Madurai, Tamil Nadu","Sourashtra College Madurai, Tamil Nadu Madurai Kamaraj University - [MKU]",,MCA,
