College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Nirma University - [NU], Ahmedabad","7.1/10","Ahmedabad, Gujarat","UGC, NAAC-A, AIU","₹2.05 L / yr LLB - avg fee","CLAT Exam Accepted","4.2 / 5 34 reviews"
"Andhra University, Dr. B. R. Ambedkar College of law, Visakhapatnam","7.1/10","Visakhapatnam, Andhra Pradesh","NAAC-A","-- LLB","",""
"The Northcap University - [NCU], Gurgaon","7.1/10","Gurgaon, Haryana","NAAC, UGC, NBA, MHRD, AIU","₹1.49 L / yr LLB - avg fee","3.8 / 5 28 reviews",""
"Sri Venkateswara College of Law, Tirupati","7.1/10","Tirupati, Andhra Pradesh","BCI","₹32 K / yr LLB - avg fee","AP LAWCE... Exam Accepted",""
"KLE Society's Law College, Bangalore","7.0/10","Bangalore, Karnataka","BCI","₹1 L / yr LLB - avg fee","LSAT Ind... Exam Accepted","3.3 / 5 5 reviews"
"University Institute of Legal Studies, Chandigarh","7.0/10","Chandigarh, Chandigarh","BCI, UGC","₹50 K / yr LLB - avg fee","PU LLB Exam Accepted","3.4 / 5 1 reviews"
"Bangalore Institute of Legal Studies - [BILS], Bangalore","7.0/10","Bangalore, Karnataka","BCI","₹14.5 K / yr LLB - avg fee","1 / 5 1 reviews",""
"Lovely Professional University - [LPU], Jalandhar","7.0/10","Jalandhar, Punjab","NCTE, COA, PCI, IAP, BCI","₹1.49 L / yr LLB - avg fee","LPUNEST Exam Accepted","4 / 5 310 reviews"
"SDM Law College Kodialbail, Mangalore","6.5/10","Mangalore, Karnataka","NAAC","₹29 K / yr LLB - avg fee","",""
"Dhenkanal Law College, Dhenkanal","6.5/10","Dhenkanal, Orissa","BCI, NAAC, UGC","₹11.3 K / yr LLB - avg fee","",""
"KC Law College, Jammu","6.5/10","Jammu, Jammu and Kashmir","BCI","₹1 L / yr LLB - avg fee","",""
"Jalpaiguri Law College, Jalpaiguri","6.5/10","Jalpaiguri, West Bengal","BCI","₹3.5 K / yr LLB - avg fee","",""
"Alliance School of Law, Bangalore","6.4/10","Bangalore, Karnataka","BCI","₹1.55 L / yr LLB - avg fee","ACLAT Exam Accepted",""
