College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Government Medical College / Rajindra Hospital-[GMCP], Patiala","7.1/10","Patiala, Punjab","MCI, UGC","₹26 K / yr MBBS - avg fee",,"4 / 5 4 reviews"
"Thrissur Govt. Medical College, Thrissur","7.1/10","Thrissur, Kerala","MCI","₹48.9 K / yr MBBS - avg fee",,""
"LLRM Medical College, Meerut","7.1/10","Meerut, Uttar Pradesh","","-- MBBS",,"4 / 5 1 reviews"
"University College of Medical Sciences - [UCMS], New Delhi","7.1/10","New Delhi, Delhi NCR","MCI","₹5.68 K / yr B.Sc (Medicine) - ...",,"4.6 / 5 3 reviews"
"Aligarh Muslim University - [AMU], Aligarh","7.1/10","Aligarh, Uttar Pradesh","NAAC, UGC","₹9.56 K / yr UG Diploma in Medi...",,"4.1 / 5 45 reviews"
"Dr SN Medical College & Hospital, Jodhpur","7.1/10","Jodhpur, Rajasthan","MCI","-- MBBS",,"3.4 / 5 8 reviews"
"Bharati Vidyapeeth Deemed University Medical College and Hospital, Sangli","7.1/10","Sangli, Maharashtra","MCI, UGC","₹1.42 L / yr MBBS - avg fee",,""
"Government Medical College and Hospital - [GMCH], Chandigarh","7.0/10","Chandigarh, Chandigarh","MCI, UGC","₹1.18 L / yr BHMS - avg fee",,"4.4 / 5 3 reviews"
"Rajendra Institute of Medical Sciences - [RIMS], Ranchi","7.0/10","Ranchi, Jharkhand","MCI","₹5.4 K / yr MBBS - avg fee",,"3.8 / 5 3 reviews"
"T.D. Medical College - [TDMC], Alappuzha","7.0/10","Alappuzha, Kerala","MCI","₹47 K / yr Graduate Diploma i...",,""
"Topiwala National Medical College - [TNMC], Mumbai","7.0/10","Mumbai, Maharashtra","MCI","₹30.5 K / yr B.Sc (Medicine) - ...",,"4 / 5 17 reviews"
"Sri Ram Chandra Bhanj Medical College and Hospital - [SCBMCH], Cuttack","7.0/10","Cuttack, Orissa","MCI","₹29.8 K / yr MBBS - avg fee",,"4.3 / 5 7 reviews"
