ENGINEERING
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
JKCET 2018 Jammu And Kashmir Board Of Professional Entrance Examinations Common Entrance Test,Written Test,09 Jan 18 - 20 Feb 18,05 May 18,28 May 18,https://exams.collegedunia.com/jkcet/application-process
UBTER JEEP 2018 Uttarakhand Board Of Technical Education-Joint Entrance Exam, Polytechnic,Written Test,10 Jan 18 - 26 Mar 18,06 May 18,27 May 18,
UPESEAT 2018 University of Petroleum and Energy Studies Engineering Aptitude Test,Written Test,10 Jan 18 - 20 Mar 18,15 Apr 18,24 May 18,
NERIST Entrance Exam 2018 North Eastern Regional Institute of Science and Technology Entrance Examination,Online Test,14 Jan 18 - 02 Apr 18,15 Apr 18,12 May 18,
BITSAT 2018 Birla Institute of Technology and Science Admission Test,Online Test,14 Jan 18 - 03 Mar 18,20 May 18,12 Jun 18,
Amity JEE 2018 Amity Joint Entrance Examination 2018,Online Test,22 Jan 18 - 25 Mar 18,15 Apr 18,04 May 18,
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
BSAUEEE 2018 B.S. Abdur Rahman University Engineering Entrance Exam,Online Test,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20 May 18,
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
NPAT 2018 National Test for Programs After Twelfth,Online Test,05 Feb 18 - 02 May 18,13 May 18,10 Jun 18,
Uni Gauge E 2018 Under Graduate Engineering Entrance Exam,Online Test,08 Feb 18 - 04 Apr 18,14 May 18,20 May 18,
COMEDK UGET 2018 Consortium of Medical, Engineering & Dental Colleges of Karnataka, Under Graduate Entrance Test,Online Test,12 Feb 18 - 06 Apr 18,13 May 18,28 May 18,
BCECE 2018 Bihar Combined Entrance Competitive Examination,Written Test,14 Feb 18 - 09 Mar 18,23 Apr 18,,https://exams.collegedunia.com/bcece/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
CUEE 2018 Centurion University Entrance Examination,Online Test,23 Feb 18 - 27 Mar 18,22 Apr 18,13 May 18,
MZUEEE 2018 Mizoram University Engineering Entrance Examination 2018,Written Test,25 Feb 18 - 11 Jun 18,24 Jun 18,09 Jul 18,
Andhra University Engineering Entrance Test 2018 Andhra University Engineering Entrance Test,Online Test,04 Mar 18 - 16 Apr 18,13 May 18,20 May 18,
MHT CET 2018 Maharashtra Health Sciences and Technical Common Entrance Test,Written Test,06 Mar 18 - 30 Mar 18,13 May 18,08 Jun 18,https://exams.collegedunia.com/mht-cet/application-process
JEE Main 2018 Joint Entrance Exam (Main),Online Test , Written Test,07 Mar 18 - 01 Dec 17,08 Apr 18 - 08 Apr 18,,
TUEE 2018 Tezpur University Entrance Exam 2018,Written Test,12 Mar 18 - 05 May 18,22 Apr 18,11 Jun 18,
ASSAM PAT 2018 Assam Polytechnic Admission Test,Written Test,12 Mar 18 - 04 May 18,15 May 18,06 Jun 18,
AP POLYCET 2018 Andhra Pradesh Polytechnic Common Entrance Test,Written Test,12 Mar 18 - 13 Apr 18,25 Apr 18,,
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
CG PPT 2018 Chhattisgarh Pre-Polytechnic Test,Online Test,20 Mar 18 - 17 Apr 18,09 May 18,05 Jun 18,
TS PGECET 2017 Telangana State Post Graduate Engineering Common Entrance Test,Online Test,20 Mar 18 - 01 May 18,27 May 18,09 Jun 18,
CMRUAT 2018 CMR University Admission Test 2018,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
DAVUET 2018 DAV University Entrance Test,Written Test,23 Mar 18 - 15 Apr 18,22 Apr 18,12 May 18,
