Domain,Name of Exam,University,Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
ENGINEERING,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
ENGINEERING,KCET 2018,Karnataka Common Entrance Test ,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25-May-18,https://exams.collegedunia.com/kcet/application-process
ENGINEERING,JKCET 2018,Jammu And Kashmir Board Of Professional Entrance Examinations Common Entrance Test ,Written Test,09 Jan 18 - 20 Feb 18,05-May-18,28-May-18,https://exams.collegedunia.com/jkcet/application-process
ENGINEERING,UBTER JEEP 2018,Uttarakhand Board Of Technical Education-Joint Entrance Exam  Polytechnic ,Written Test,10 Jan 18 - 26 Mar 18,06-May-18,27-May-18,
ENGINEERING,UPESEAT 2018,University of Petroleum and Energy Studies Engineering Aptitude Test ,Written Test,10 Jan 18 - 20 Mar 18,15-Apr-18,24-May-18,
ENGINEERING,NERIST Entrance Exam 2018,North Eastern Regional Institute of Science and Technology Entrance Examination ,Online Test,14 Jan 18 - 02 Apr 18,15-Apr-18,12-May-18,
ENGINEERING,BITSAT 2018,Birla Institute of Technology and Science Admission Test ,Online Test,14 Jan 18 - 03 Mar 18,20-May-18,12-Jun-18,
ENGINEERING,Amity JEE 2018,Amity Joint Entrance Examination 2018 ,Online Test,22 Jan 18 - 25 Mar 18,15-Apr-18,04-May-18,
ENGINEERING,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
ENGINEERING,BSAUEEE 2018,B.S. Abdur Rahman University Engineering Entrance Exam ,Online Test,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20-May-18,
ENGINEERING,TANCET 2018,Tamil Nadu Common Entrance Test ,Written Test,28 Jan 18 - 15 Mar 18,25-Mar-18,07-Apr-18,https://exams.collegedunia.com/tancet/admit-card
ENGINEERING,AP EAMCET 2018,Andhra Pradesh Engineering  Agriculture and Medical Common Entrance Test ,Online Test,05 Feb 18 - 10 Apr 18,28-Apr-18,24-May-18,https://exams.collegedunia.com/ap-eamcet/application-process
ENGINEERING,NPAT 2018,National Test for Programs After Twelfth ,Online Test,05 Feb 18 - 02 May 18,13-May-18,10-Jun-18,
ENGINEERING,Uni Gauge E 2018,Under Graduate Engineering Entrance Exam ,Online Test,08 Feb 18 - 04 Apr 18,14-May-18,20-May-18,
ENGINEERING,COMEDK UGET 2018,Consortium of Medical  Engineering & Dental Colleges of Karnataka  Under Graduate Entrance Test ,Online Test,12 Feb 18 - 06 Apr 18,13-May-18,28-May-18,
ENGINEERING,BCECE 2018,Bihar Combined Entrance Competitive Examination ,Written Test,14 Feb 18 - 09 Mar 18,23-Apr-18,,https://exams.collegedunia.com/bcece/application-process
ENGINEERING,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
