Country Name,Course Lavel,University Name,Course,Ranking
Indonesia,Undergraduate,Accounting and Finance,Universitas Islam Indonesia,
Indonesia,Undergraduate,Accounting and Finance,University of Brawijaya,
Indonesia,Undergraduate,Accounting and Finance,Universitas Sebelas Maret,
Indonesia,Undergraduate,Accounting and Finance,Telkom University,
Indonesia,Undergraduate,Accounting and Finance,University of Surabaya,
Indonesia,Undergraduate,Accounting and Finance,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Accounting and Finance,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Accounting and Finance,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Accounting and Finance,Universitas Mercu Buana,
Indonesia,Undergraduate,Accounting and Finance,Bakrie University,
Indonesia,Undergraduate,Accounting and Finance,Sriwijaya University,
Indonesia,Undergraduate,Agriculture & Forestry,University of Brawijaya,
Indonesia,Undergraduate,Agriculture & Forestry,Universitas Sebelas Maret,
Indonesia,Undergraduate,Agriculture & Forestry,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Agriculture & Forestry,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Agriculture & Forestry,Sriwijaya University,
Indonesia,Undergraduate,Agriculture & Forestry,Bakrie University,
Indonesia,Undergraduate,Anatomy & Physiology,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Anthropology,University of Brawijaya,
Indonesia,Undergraduate,Anthropology,Universitas Sebelas Maret,
Indonesia,Undergraduate,Anthropology,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Anthropology,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Anthropology,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Archaeology,Ahmad Dahlan University,
Indonesia,Undergraduate,Archaeology,Universitas Sebelas Maret,
Indonesia,Undergraduate,Archaeology,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Archaeology,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Archaeology,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Archaeology,Sriwijaya University,
Indonesia,Undergraduate,Architecture,Universitas Islam Indonesia,
Indonesia,Undergraduate,Architecture,University of Brawijaya,
Indonesia,Undergraduate,Architecture,Ahmad Dahlan University,
Indonesia,Undergraduate,Architecture,Universitas Sebelas Maret,
Indonesia,Undergraduate,Architecture,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Architecture,Bandung Institute of Technolog ...,#=331 QS World University Rankings 2018
Indonesia,Undergraduate,Architecture,Diponegoro University,#801-1000 QS World University Rankings 2018
