Country Name,Course Lavel,Subject,University,Ranking,
Argentina,Undergraduate,Accounting and Finance,Universidad de Palermo (UP),#431-440 QS World University Rankings 2018,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,,,
Argentina,Undergraduate,Accounting and Finance,Universidad de Buenos Aires (UBA),#75 QS World University Rankings 2018,
Argentina,Undergraduate,Accounting and Finance,Universidad Austral,#=331 QS World University Rankings 2018,
Argentina,Undergraduate,Accounting and Finance,Universidad Torcuato Di Tella,#651-700 QS World University Rankings 2018,
Argentina,Undergraduate,Accounting and Finance,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Accounting and Finance,Universidad Abierta Interamericana,,
Argentina,Undergraduate,Accounting and Finance,Catholic University of Cordoba,,
Argentina,Undergraduate,Agriculture & Forestry,Universidad de Buenos Aires (UBA),#75 QS World University Rankings 2018,
Argentina,Undergraduate,Agriculture & Forestry,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Agriculture & Forestry,Catholic University of Cordoba,,
Argentina,Undergraduate,Anatomy & Physiology,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Anthropology,Universidad de Buenos Aires (UBA),#75 QS World University Rankings 2018,
Argentina,Undergraduate,Anthropology,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Archaeology,Universidad de Buenos Aires (UBA),#75 QS World University Rankings 2018,
Argentina,Undergraduate,Archaeology,Universidad Torcuato Di Tella,#651-700 QS World University Rankings 2018,
Argentina,Undergraduate,Archaeology,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Architecture,Universidad de Palermo (UP),#431-440 QS World University Rankings 2018,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,,,
Argentina,Undergraduate,Architecture,Universidad Torcuato Di Tella,#651-700 QS World University Rankings 2018,
Argentina,Undergraduate,Architecture,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
Argentina,Undergraduate,Architecture,Universidad Abierta Interamericana,,
Argentina,Undergraduate,Architecture,Catholic University of Cordoba,,
Argentina,Undergraduate,Area Studies,Universidad Torcuato Di Tella,#651-700 QS World University Rankings 2018,
Argentina,Undergraduate,Area Studies,Universidad Abierta Interamericana,,
Argentina,Undergraduate,Art & Design,Universidad de Palermo (UP),#431-440 QS World University Rankings 2018,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,,,
Argentina,Undergraduate,Art & Design,Universidad de Buenos Aires (UBA),#75 QS World University Rankings 2018,
Argentina,Undergraduate,Art & Design,Universidad Torcuato Di Tella,#651-700 QS World University Rankings 2018,
Argentina,Undergraduate,Art & Design,Universidad Nacional de Córdob ...,#701-750 QS World University Rankings 2018,
