Country Name,Course Lavel,Subject,University,Ranking,
Azerbaijan,Undergraduate,Accounting and Finance,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Accounting and Finance,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Accounting and Finance,Western Caspian University,,
Azerbaijan,Undergraduate,Agriculture & Forestry,Western Caspian University,,
Azerbaijan,Undergraduate,Anthropology,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Archaeology,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Archaeology,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Archaeology,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Architecture,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Architecture,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Architecture,Western Caspian University,,
Azerbaijan,Undergraduate,Architecture,Azerbaijan University of Archi ...,,
Azerbaijan,Undergraduate,Area Studies,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Area Studies,Azerbaijan University of Languages,,
Azerbaijan,Undergraduate,Art & Design,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Art & Design,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Art & Design,Azerbaijan University of Archi ...,,
Azerbaijan,Undergraduate,Art & Design,Western Caspian University,,
Azerbaijan,Undergraduate,Biological Sciences,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Biological Sciences,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Built Environment,Western Caspian University,,
Azerbaijan,Undergraduate,Business & Management Studies,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Business & Management Studies,ADA University,,
Azerbaijan,Undergraduate,Business & Management Studies,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Business & Management Studies,Western Caspian University,,
Azerbaijan,Undergraduate,Chemistry,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Chemistry,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Classics & Ancient History,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Communication and Media Studies,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Communication and Media Studies,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Computer Science and Information Systems,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Computer Science and Information Systems,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Computer Science and Information Systems,ADA University,,
Azerbaijan,Undergraduate,Computer Science and Information Systems,Western Caspian University,,
Azerbaijan,Undergraduate,Development Studies,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Development Studies,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Earth and Marine Sciences,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Earth and Marine Sciences,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Economics and Econometrics,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Economics and Econometrics,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Economics and Econometrics,ADA University,,
Azerbaijan,Undergraduate,Economics and Econometrics,Western Caspian University,,
Azerbaijan,Undergraduate,Education and Training,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Education and Training,Azerbaijan University of Languages,,
Azerbaijan,Undergraduate,Education and Training,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Engineering - Aeronautical,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Engineering - Chemical,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering - Civil and Structural,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering - Civil and Structural,Azerbaijan University of Archi ...,,
Azerbaijan,Undergraduate,Engineering - Civil and Structural,Western Caspian University,,
Azerbaijan,Undergraduate,Engineering - Electrical and Electronic,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering - General,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering - General,Azerbaijan University of Archi ...,,
Azerbaijan,Undergraduate,Engineering - Manufacturing & Production,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Engineering - Mechanical,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering - Mechanical,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Engineering - Mineral & Mining,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Engineering Management,Western Caspian University,,
Azerbaijan,Undergraduate,English Language and Literature,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,English Language and Literature,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,English Language and Literature,Azerbaijan University of Languages,,
Azerbaijan,Undergraduate,English Language and Literature,Western Caspian University,,
Azerbaijan,Undergraduate,Environmental Studies,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Environmental Studies,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Environmental Studies,Azerbaijan University of Archi ...,,
Azerbaijan,Undergraduate,Environmental Studies,Western Caspian University,,
Azerbaijan,Undergraduate,Finance,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Finance,Western Caspian University,,
Azerbaijan,Undergraduate,Geography,Khazar University,#701-750 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Geography,Baku State University,#801-1000 QS World University Rankings 2018,
Azerbaijan,Undergraduate,Geography,Azerbaijan State University of ...,,
Azerbaijan,Undergraduate,Hospitality & Leisure Management,Western Caspian University,,
Azerbaijan,Undergraduate,Hospitality & Leisure Management,Azerbaijan State University of ...,,
