Country Name,Course Lavel,Subject,University,Ranking
Algeria,Undergraduate,Agriculture & Forestry,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Biological Sciences,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Chemistry,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Economics and Econometrics,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Environmental Studies,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Logistics / Supply Chain Management,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Mathematics,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Politics,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Sociology,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Statistics and Operational Research,École Nationale Supérieure Agr ...,
Algeria,Undergraduate,Zoology,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Agriculture & Forestry,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Biological Sciences,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Chemistry,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Economics and Econometrics,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Environmental Studies,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Logistics / Supply Chain Management,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Mathematics,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Politics,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Sociology,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Statistics and Operational Research,École Nationale Supérieure Agr ...,
Algeria,Postgraduate,Zoology,École Nationale Supérieure Agr ...,
