Country Name,Course Lavel,Subject,University,Ranking,
Bangladesh,Undergraduate,Accounting and Finance,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Accounting and Finance,United International University,,
Bangladesh,Undergraduate,Anatomy & Physiology,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Anthropology,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Archaeology,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Art & Design,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Biological Sciences,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Built Environment,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Business & Management Studies,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Business & Management Studies,United International University,,
Bangladesh,Undergraduate,Chemistry,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Communication and Media Studies,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Computer Science and Information Systems,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Computer Science and Information Systems,United International University,,
Bangladesh,Undergraduate,Dentistry,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Development Studies,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Development Studies,United International University,,
Bangladesh,Undergraduate,Earth and Marine Sciences,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Economics and Econometrics,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Economics and Econometrics,United International University,,
Bangladesh,Undergraduate,Education and Training,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Engineering - Chemical,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Engineering - Civil and Structural,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Engineering - Electrical and Electronic,University of Dhaka,#701-750 QS World University Rankings 2018,
Bangladesh,Undergraduate,Engineering - Electrical and Electronic,United International University,,
