Country Name,Course Lavel,University Name,Course,Ranking,
Belarus,Undergraduate,Accounting and Finance,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Accounting and Finance,Yanka Kupala State University ...,,
Belarus,Undergraduate,Archaeology,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Archaeology,Yanka Kupala State University ...,,
Belarus,Undergraduate,Art & Design,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Art & Design,Yanka Kupala State University ...,,
Belarus,Undergraduate,Astronomy,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Biological Sciences,Yanka Kupala State University ...,,
Belarus,Undergraduate,Business & Management Studies,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Business & Management Studies,"International University ""MITSO""",,
Belarus,Undergraduate,Business & Management Studies,Yanka Kupala State University ...,,
Belarus,Undergraduate,Chemistry,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Classics & Ancient History,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Communication and Media Studies,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Communication and Media Studies,Yanka Kupala State University ...,,
Belarus,Undergraduate,Computer Science and Information Systems,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Computer Science and Information Systems,Yanka Kupala State University ...,,
Belarus,Undergraduate,Earth and Marine Sciences,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Economics and Econometrics,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Economics and Econometrics,Yanka Kupala State University ...,,
Belarus,Undergraduate,Economics and Econometrics,"International University ""MITSO""",,
Belarus,Undergraduate,Education and Training,Yanka Kupala State University ...,,
Belarus,Undergraduate,Engineering - Aeronautical,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Engineering - Civil and Structural,Yanka Kupala State University ...,,
Belarus,Undergraduate,Engineering - Electrical and Electronic,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Engineering - Electrical and Electronic,Yanka Kupala State University ...,,
Belarus,Undergraduate,Engineering - Manufacturing & Production,Yanka Kupala State University ...,,
Belarus,Undergraduate,Engineering - Mechanical,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Engineering - Mechanical,Yanka Kupala State University ...,,
Belarus,Undergraduate,English Language and Literature,Yanka Kupala State University ...,,
Belarus,Undergraduate,Environmental Studies,Yanka Kupala State University ...,,
Belarus,Undergraduate,Finance,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Finance,Yanka Kupala State University ...,,
Belarus,Undergraduate,Geography,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Hospitality & Leisure Management,Belarusian State University,#=334 QS World University Rankings 2018,
Belarus,Undergraduate,Hospitality & Leisure Management,Yanka Kupala State University ...,,
