Country Name,Course Lavel,University Name,Course,Ranking
Belgium,Undergraduate,Accounting and Finance,Université de Liège,
Belgium,Undergraduate,Accounting and Finance,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Accounting and Finance,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Accounting and Finance,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Accounting and Finance,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Accounting and Finance,University of Antwerp,#=210
Belgium,Undergraduate,Accounting and Finance,Boston University Brussels,
Belgium,Undergraduate,Accounting and Finance,HEC Management School, Univers ...,
Belgium,Undergraduate,Agriculture & Forestry,Université de Liège,
Belgium,Undergraduate,Agriculture & Forestry,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Agriculture & Forestry,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Agriculture & Forestry,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Anatomy & Physiology,Université de Liège,
Belgium,Undergraduate,Anatomy & Physiology,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Anthropology,Université de Liège,
Belgium,Undergraduate,Anthropology,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Anthropology,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,Université de Liège,
Belgium,Undergraduate,Archaeology,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Archaeology,University of Antwerp,#=210
Belgium,Undergraduate,Architecture,Université de Liège,
Belgium,Undergraduate,Architecture,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Architecture,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Architecture,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Architecture,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Architecture,University of Antwerp,#=210
Belgium,Undergraduate,Area Studies,Université de Liège,
Belgium,Undergraduate,Area Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Area Studies,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Art & Design,Université de Liège,
Belgium,Undergraduate,Art & Design,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Art & Design,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Art & Design,University of Antwerp,#=210
Belgium,Undergraduate,Astronomy,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Biological Sciences,Université de Liège,
Belgium,Undergraduate,Biological Sciences,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Biological Sciences,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Biological Sciences,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Biological Sciences,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Biological Sciences,University of Antwerp,#=210
Belgium,Undergraduate,Built Environment,Université de Liège,
Belgium,Undergraduate,Built Environment,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Built Environment,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,Université de Liège,
Belgium,Undergraduate,Business & Management Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Business & Management Studies,University of Antwerp,#=210
Belgium,Undergraduate,Business & Management Studies,Boston University Brussels,
Belgium,Undergraduate,Business & Management Studies,HEC Management School, Univers ...,
Belgium,Undergraduate,Chemistry,Université de Liège,
Belgium,Undergraduate,Chemistry,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Chemistry,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Chemistry,University of Antwerp,#=210
Belgium,Undergraduate,Classics & Ancient History,Université de Liège,
Belgium,Undergraduate,Classics & Ancient History,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Classics & Ancient History,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,Université de Liège,
Belgium,Undergraduate,Communication and Media Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Communication and Media Studies,University of Antwerp,#=210
Belgium,Undergraduate,Communication and Media Studies,University of Kent in Brussels ...,
Belgium,Undergraduate,Computer Science and Information Systems,Université de Liège,
Belgium,Undergraduate,Computer Science and Information Systems,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Computer Science and Information Systems,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Computer Science and Information Systems,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Computer Science and Information Systems,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Computer Science and Information Systems,University of Antwerp,#=210
Belgium,Undergraduate,Dentistry,Université de Liège,
Belgium,Undergraduate,Dentistry,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Dentistry,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Dentistry,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Development Studies,Université de Liège,
Belgium,Undergraduate,Development Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Development Studies,University of Antwerp,#=210
Belgium,Undergraduate,Development Studies,University of Kent in Brussels ...,
Belgium,Undergraduate,Earth and Marine Sciences,Université de Liège,
Belgium,Undergraduate,Earth and Marine Sciences,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Earth and Marine Sciences,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Earth and Marine Sciences,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Earth and Marine Sciences,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Earth and Marine Sciences,University of Antwerp,#=210
Belgium,Undergraduate,Economics and Econometrics,Université de Liège,
Belgium,Undergraduate,Economics and Econometrics,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Economics and Econometrics,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Economics and Econometrics,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Economics and Econometrics,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Economics and Econometrics,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Economics and Econometrics,University of Antwerp,#=210
Belgium,Undergraduate,Economics and Econometrics,University of Kent in Brussels ...,
Belgium,Undergraduate,Economics and Econometrics,HEC Management School, Univers ...,
Belgium,Undergraduate,Economics and Econometrics,Boston University Brussels,
Belgium,Undergraduate,Education and Training,Université de Liège,
Belgium,Undergraduate,Education and Training,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Education and Training,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Education and Training,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Education and Training,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Education and Training,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - Aeronautical,Université de Liège,
Belgium,Undergraduate,Engineering - Aeronautical,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Aeronautical,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Aeronautical,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Aeronautical,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Chemical,Université de Liège,
Belgium,Undergraduate,Engineering - Chemical,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Chemical,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Chemical,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Chemical,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Chemical,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - Civil and Structural,Université de Liège,
Belgium,Undergraduate,Engineering - Civil and Structural,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Civil and Structural,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Civil and Structural,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Civil and Structural,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Civil and Structural,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - Electrical and Electronic,Université de Liège,
Belgium,Undergraduate,Engineering - Electrical and Electronic,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Electrical and Electronic,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Electrical and Electronic,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Electrical and Electronic,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Electrical and Electronic,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - General,Université de Liège,
Belgium,Undergraduate,Engineering - General,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - General,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - General,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - General,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - General,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - General,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - Manufacturing & Production,Université de Liège,
Belgium,Undergraduate,Engineering - Manufacturing & Production,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Manufacturing & Production,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Manufacturing & Production,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Mechanical,Université de Liège,
Belgium,Undergraduate,Engineering - Mechanical,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Mechanical,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Mechanical,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Mechanical,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Engineering - Mechanical,University of Antwerp,#=210
Belgium,Undergraduate,Engineering - Mineral & Mining,Université de Liège,
Belgium,Undergraduate,Engineering - Mineral & Mining,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Engineering Management,Université de Liège,
Belgium,Undergraduate,Engineering Management,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Engineering Management,HEC Management School, Univers ...,
Belgium,Undergraduate,English Language and Literature,Université de Liège,
Belgium,Undergraduate,English Language and Literature,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,English Language and Literature,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,English Language and Literature,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,English Language and Literature,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,English Language and Literature,University of Antwerp,#=210
Belgium,Undergraduate,Environmental Studies,Université de Liège,
Belgium,Undergraduate,Environmental Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Environmental Studies,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Environmental Studies,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Environmental Studies,University of Antwerp,#=210
Belgium,Undergraduate,Environmental Studies,Boston University Brussels,
Belgium,Undergraduate,Ethnicity, Gender and Diversity,Université de Liège,
Belgium,Undergraduate,Ethnicity, Gender and Diversity,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Ethnicity, Gender and Diversity,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Ethnicity, Gender and Diversity,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Ethnicity, Gender and Diversity,University of Antwerp,#=210
Belgium,Undergraduate,Finance,Université de Liège,
Belgium,Undergraduate,Finance,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Finance,Universite libre de Bruxelles,#=205 QS World University Rankings 2018
Belgium,Undergraduate,Finance,HEC Management School, Univers ...,
Belgium,Undergraduate,Geography,Université de Liège,
Belgium,Undergraduate,Geography,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Geography,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Geography,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,Geography,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Hospitality & Leisure Management,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Hospitality & Leisure Management,University of Antwerp,#=210
Belgium,Undergraduate,Human Resources Management,Université de Liège,
Belgium,Undergraduate,Human Resources Management,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Human Resources Management,HEC Management School, Univers ...,
Belgium,Undergraduate,Human Resources Management,Boston University Brussels,
Belgium,Undergraduate,International Relations/Studies/Affairs,Université de Liège,
Belgium,Undergraduate,International Relations/Studies/Affairs,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,International Relations/Studies/Affairs,Université catholique de Louva ...,#153 QS World University Rankings 2018
Belgium,Undergraduate,International Relations/Studies/Affairs,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,International Relations/Studies/Affairs,University of Antwerp,#=210
Belgium,Undergraduate,International Relations/Studies/Affairs,University of Kent in Brussels ...,
Belgium,Undergraduate,International Relations/Studies/Affairs,Boston University Brussels,
Belgium,Undergraduate,Journalism,Vrije Universiteit Brussel (VUB),#=182 QS World University Rankings 2018
Belgium,Undergraduate,Law and Legal Studies,Université de Liège,
Belgium,Undergraduate,Law and Legal Studies,KU Leuven,#=71 QS World University Rankings 2018
Belgium,Undergraduate,Law and Legal Studies,Ghent University,#=125 QS World University Rankings 2018
Belgium,Undergraduate,Law and Legal Studies,Université catholique de Louva ...,#153 QS World University Rankings 2018
